PART_ID,HIERARCHY_ID,PART_NBR,ROW_STATUS_IND
d5555292-ecd9-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6038T61G01,A
d5555292-ecda-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6043T81G01,D
d5555292-ecdb-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6043T81G01A,D
d5555292-ecdc-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6043T89G01,A
d5555292-ecdd-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6043T89G01A,D
d5555292-ecde-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6044T08G01,D
d5555292-ecdf-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6064T27G01,D
d5555292-ece0-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6064T98G01,A
d5555292-ece1-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6064T98G01A,D
d5555292-ece2-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6064T99G01,D
d5555292-ece3-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6071T24G01,D
d5555292-ece4-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6071T26G01,D
d5555292-ece5-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6071T26G02,D
d5555292-ece6-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6071T26G01A,D
d5555292-ece7-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6071T26G01B,D
d5555292-ece8-2723-e053-0100007f945f,d555528d-35b8-2723-e053-0100007f945f,6071T26G01C,D
d5555292-ece9-2723-e053-0100007f945f,d555528d-35b9-2723-e053-0100007f945f,5044T82P01,A
d5555292-ecea-2723-e053-0100007f945f,d555528d-35ba-2723-e053-0100007f945f,4922T58P04,A
d5555292-eceb-2723-e053-0100007f945f,d555528d-35ba-2723-e053-0100007f945f,4922T58P05,A
d5555292-ecec-2723-e053-0100007f945f,d555528d-35ba-2723-e053-0100007f945f,6038T88P02,A
d5555292-eced-2723-e053-0100007f945f,d555528d-35ba-2723-e053-0100007f945f,6038T88P04,A
d5555292-ecee-2723-e053-0100007f945f,d555528d-35bb-2723-e053-0100007f945f,6038T32P01,A
d5555292-ecef-2723-e053-0100007f945f,d555528d-35bb-2723-e053-0100007f945f,6038T32P02,A
d5555292-ecf0-2723-e053-0100007f945f,d555528d-35bc-2723-e053-0100007f945f,5088T39G04,A
d5555292-ecf1-2723-e053-0100007f945f,d555528d-35bc-2723-e053-0100007f945f,6038T33G02,A
d5555292-ecf2-2723-e053-0100007f945f,d555528d-35bc-2723-e053-0100007f945f,6038T35G01,A
d5555292-ecf3-2723-e053-0100007f945f,d555528d-35bc-2723-e053-0100007f945f,6038T35G02,A
d5555292-ecf4-2723-e053-0100007f945f,d555528d-35bc-2723-e053-0100007f945f,6071T80G03,A
d5555292-ecf5-2723-e053-0100007f945f,d555528d-35bc-2723-e053-0100007f945f,6071T81G02,A
d5555292-ecf6-2723-e053-0100007f945f,d555528d-35bd-2723-e053-0100007f945f,6038T39P01,A
d5555292-ecf7-2723-e053-0100007f945f,d555528d-35bd-2723-e053-0100007f945f,6038T39P02,A
d5555292-ecf8-2723-e053-0100007f945f,d555528d-35bd-2723-e053-0100007f945f,6038T39P04,A
d5555292-ecf9-2723-e053-0100007f945f,d555528d-35bd-2723-e053-0100007f945f,6038T39P08,A
d5555292-ecfa-2723-e053-0100007f945f,d555528d-35be-2723-e053-0100007f945f,5922T69P01,A
d5555292-ecfb-2723-e053-0100007f945f,d555528d-35be-2723-e053-0100007f945f,6038T34P02,A
d5555292-ecfc-2723-e053-0100007f945f,d555528d-35be-2723-e053-0100007f945f,6038T34P03,A
d5555292-ecfd-2723-e053-0100007f945f,d555528d-35be-2723-e053-0100007f945f,6038T34P05,A
d5555292-ecfe-2723-e053-0100007f945f,d555528d-35be-2723-e053-0100007f945f,6038T34P06,A
d5555292-ecff-2723-e053-0100007f945f,d555528d-35bf-2723-e053-0100007f945f,6038T41P01,A
d5555292-ed00-2723-e053-0100007f945f,d555528d-35bf-2723-e053-0100007f945f,6038T41P02,A
d5555292-ed01-2723-e053-0100007f945f,d555528d-35bf-2723-e053-0100007f945f,6038T41P03,A
d5555292-ed02-2723-e053-0100007f945f,d555528d-35bf-2723-e053-0100007f945f,6038T41P04,A
d5555292-ed03-2723-e053-0100007f945f,d555528d-35c0-2723-e053-0100007f945f,6039T95G02,A
d5555292-ed04-2723-e053-0100007f945f,d555528d-35c0-2723-e053-0100007f945f,6055T21G01,A
d5555292-ed05-2723-e053-0100007f945f,d555528d-35c0-2723-e053-0100007f945f,6055T21G05,A
d5555292-ed06-2723-e053-0100007f945f,d555528d-35c1-2723-e053-0100007f945f,6033T79G02,A
d5555292-ed07-2723-e053-0100007f945f,d555528d-35c2-2723-e053-0100007f945f,6038T68G01,A
d5555292-ed08-2723-e053-0100007f945f,d555528d-35c2-2723-e053-0100007f945f,6038T68G02,A
d5555292-ed09-2723-e053-0100007f945f,d555528d-35c2-2723-e053-0100007f945f,6038T68G03,A
d5555292-ed0a-2723-e053-0100007f945f,d555528d-35c2-2723-e053-0100007f945f,6038T68G07,A
d5555292-ed0b-2723-e053-0100007f945f,d555528d-35c2-2723-e053-0100007f945f,6038T68G08,A
d5555292-ed0c-2723-e053-0100007f945f,d555528d-35c2-2723-e053-0100007f945f,6038T68G10,A
d5555292-ed0d-2723-e053-0100007f945f,d555528d-35c2-2723-e053-0100007f945f,6053T47G02,A
