CONDITION_CODE_ID,CODE_TEXT,DETAIL_CODE_TXT,ROW_STATUS_IND
d5555292-eab0-2723-e053-0100007f945f,Overhaul Limit,,A
d5555292-eab1-2723-e053-0100007f945f,Excessive Vibration,,A
d5555292-eab2-2723-e053-0100007f945f,Aircraft Damage,,I
d5555292-eab3-2723-e053-0100007f945f,Flatness Unacceptable,,A
d5555292-eab4-2723-e053-0100007f945f,Wavy Plates,,I
d5555292-eab5-2723-e053-0100007f945f,Thread Damaged,,I
d5555292-eab6-2723-e053-0100007f945f,Damaged Coating,,A
d5555292-eab7-2723-e053-0100007f945f,NO CAUSE FOR RETURN,,I
d5555292-eab8-2723-e053-0100007f945f,LEAKING FLUID,,I
d5555292-eab9-2723-e053-0100007f945f,Bonding Prep,,I
d5555292-eaba-2723-e053-0100007f945f,OIL LEAKS,,I
d5555292-eabb-2723-e053-0100007f945f,SPLINE CORROSION,,I
d5555292-eabc-2723-e053-0100007f945f,ACCESSORY CLUTCH RETIREMENT,,I
d5555292-eabd-2723-e053-0100007f945f,Torque Stiction,,A
d5555292-eabe-2723-e053-0100007f945f,FOREIGN OBJECT DAMAGE,,I
d5555292-eabf-2723-e053-0100007f945f,HIGH VIBRATION,,I
d5555292-eac0-2723-e053-0100007f945f,QDR EXHIBIT,,I
d5555292-eac1-2723-e053-0100007f945f,OVERTEMP,,I
d5555292-eac2-2723-e053-0100007f945f,OVERTEMPERATURE,,I
d5555292-eac3-2723-e053-0100007f945f,Failed Continuity Check,,A
d5555292-eac4-2723-e053-0100007f945f,Damaged Thread Holes,,I
d5555292-eac5-2723-e053-0100007f945f,Damaged Studs/Inserts,,A
d5555292-eac6-2723-e053-0100007f945f,Clipped,,A
d5555292-eac7-2723-e053-0100007f945f,Leaking Fluid,,A
d5555292-eac8-2723-e053-0100007f945f,Dimension Out of Limit,,A
d5555292-eac9-2723-e053-0100007f945f,INPUT FLANGE LEAK,,I
d5555292-eaca-2723-e053-0100007f945f,OUTPUT SHAFT LEAK,,I
d5555292-eacb-2723-e053-0100007f945f,REMOVED FOR TIME CHANGE,,I
d5555292-eacc-2723-e053-0100007f945f,INPUT FLANGE WEAR,,I
d5555292-eacd-2723-e053-0100007f945f,HOUSING LEAK,,I
d5555292-eace-2723-e053-0100007f945f,LUBE PUMP FAILURE,,I
d5555292-eacf-2723-e053-0100007f945f,INPUT SHAFT LEAK,,I
d5555292-ead0-2723-e053-0100007f945f,EXTERNAL COMPONENT FAILURE,,I
d5555292-ead1-2723-e053-0100007f945f,ACC COVER OIL LEAK,,I
d5555292-ead2-2723-e053-0100007f945f,WRONG PART INSTALLATION,,I
d5555292-ead3-2723-e053-0100007f945f,TRANSMISSION TBO,,I
d5555292-ead4-2723-e053-0100007f945f,REMOVED FOR SCHEDULED MAINTENANCE,,I
d5555292-ead5-2723-e053-0100007f945f,MOUNT OUT OF TOLERANCE,,I
d5555292-ead6-2723-e053-0100007f945f,STATIC MAST DAMAGE,,I
d5555292-ead7-2723-e053-0100007f945f,OIL LEAKS-B SUMP,,I
d5555292-ead8-2723-e053-0100007f945f,OIL LEAKS-AXIS B,,I
d5555292-ead9-2723-e053-0100007f945f,OIL LEAKS-AXIS G,,I
d5555292-eada-2723-e053-0100007f945f,Oil Consumption Excessive,,A
d5555292-eadb-2723-e053-0100007f945f,OIL PRESSURE INCORRECT,,I
d5555292-eadc-2723-e053-0100007f945f,OIL LEAKS-AXIS E,,I
d5555292-eadd-2723-e053-0100007f945f,BEARING FAILURE-PTO,,I
d5555292-eade-2723-e053-0100007f945f,OIL LEAKS-MAINFRAME,,I
d5555292-eadf-2723-e053-0100007f945f,FUEL LEAKS-LDS SPINDLE,,I
d5555292-eae0-2723-e053-0100007f945f,FUEL LEAKS-PAS SPINDLE,,I
d5555292-eae1-2723-e053-0100007f945f,FUEL LEAKS-VG PISTON,,I
d5555292-eae2-2723-e053-0100007f945f,FUEL LEAKS,,I
d5555292-eae3-2723-e053-0100007f945f,HANDLING DAMAGE-AXIS G,,I
d5555292-eae4-2723-e053-0100007f945f,HIGH TIME-S2ACP,,I
d5555292-eae5-2723-e053-0100007f945f,TIME CHANGE,,I
d5555292-eae6-2723-e053-0100007f945f,Life Limit,,I
d5555292-eae7-2723-e053-0100007f945f,BLADE STRIKE,,I
d5555292-eae8-2723-e053-0100007f945f,COMPRESSOR STALL,,I
d5555292-eae9-2723-e053-0100007f945f,Metal on Magnetic Plug,,I
d5555292-eaea-2723-e053-0100007f945f,Leaking Oil,,I
d5555292-eaeb-2723-e053-0100007f945f,RETURNED FOR RECAP/RESET,,I
d5555292-eaec-2723-e053-0100007f945f,Torque Stiction,,I
d5555292-eaed-2723-e053-0100007f945f,HANDLING DAMAGE,,I
d5555292-eaee-2723-e053-0100007f945f,Contamination,,I
d5555292-eaef-2723-e053-0100007f945f,HIGH VIBRATION,,I
d5555292-eaf0-2723-e053-0100007f945f,Overheated,,I
d5555292-eaf1-2723-e053-0100007f945f,OIL LEAK AGB FUEL CONTROL DRIVE,,I
d5555292-eaf2-2723-e053-0100007f945f,OIL LEAK AT COMPRESSOR HOUSING,,I
d5555292-eaf3-2723-e053-0100007f945f,OIL LEAK -  #4 AND #5 BEARING,,I
d5555292-eaf4-2723-e053-0100007f945f,FUEL LEAK - HMA,,I
d5555292-eaf5-2723-e053-0100007f945f,FUEL LEAK - STARTER BREATHER,,I
d5555292-eaf6-2723-e053-0100007f945f,OIL LEAK - AGB,,I
d5555292-eaf7-2723-e053-0100007f945f,OIL LEAK - #3 BEARING,,I
